iter	Logloss
0	0.6847251388
1	0.6497762056
2	0.6212437669
3	0.5812169011
4	0.5707196847
5	0.5592384552
6	0.5272293839
7	0.5159026801
8	0.5055060089
9	0.4942247249
10	0.4882245857
11	0.4761493841
12	0.4674079478
13	0.4521921799
14	0.4460984375
15	0.4392690212
16	0.4266105951
17	0.4181454317
18	0.4118248905
19	0.3923015
20	0.3834813128
21	0.3699291345
22	0.3604415106
23	0.3547339243
24	0.3479791092
25	0.3435928432
26	0.3330719301
27	0.3260548403
28	0.322475189
29	0.3117880343
30	0.3052016419
31	0.2985058158
32	0.2927363969
33	0.2851536315
34	0.279729664
35	0.2665523264
36	0.2603901356
37	0.2528201722
38	0.2430235677
39	0.2346509117
40	0.2251286562
41	0.2162576283
42	0.2089953802
43	0.2008918588
44	0.1928124677
45	0.1844070383
46	0.1782391701
47	0.1726079781
48	0.1662497972
49	0.1605797494
