iter	Passed	Remaining
0	2	216
1	3	183
2	5	169
3	6	150
4	7	141
5	9	146
6	11	152
7	17	197
8	19	194
9	21	189
10	22	182
11	24	177
12	27	180
13	28	177
14	30	172
15	32	168
16	33	165
17	34	159
18	36	153
19	36	147
20	38	142
21	39	138
22	40	136
23	42	135
24	45	135
25	46	133
26	48	130
27	50	128
28	51	127
29	55	128
30	57	128
31	59	126
32	61	124
33	62	122
34	64	120
35	66	118
36	69	117
37	71	116
38	72	112
39	73	109
40	74	106
41	75	104
42	76	101
43	77	98
44	78	96
45	79	93
46	80	90
47	81	88
48	83	86
49	86	86
50	88	84
51	91	84
52	93	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	71
59	103	68
60	104	66
61	105	64
62	106	62
63	107	60
64	108	58
65	109	56
66	111	54
67	112	52
68	113	50
69	114	49
70	116	47
71	118	45
72	119	44
73	120	42
74	121	40
75	123	38
76	124	37
77	125	35
78	126	33
79	128	32
80	129	30
81	131	28
82	132	27
83	134	25
84	135	23
85	136	22
86	136	20
87	138	18
88	139	17
89	140	15
90	141	13
91	142	12
92	143	10
93	144	9
94	145	7
95	147	6
96	148	4
97	149	3
98	150	1
99	151	0
